"","molSIDs","XLogP","MW","LipinskiFailures","nRotB","MLogP","nAtomLAC","nAtomP","nAtomLC","nB","nBase","nAtom","nAromBond","naAromAtom","ALogP","ALogp2","AMR","nAcid","nSmallRings","nAromRings","nRingBlocks","nAromBlocks","nRings3","nRings4","nRings5","nRings6","nRings7","nRings8","nRings9","tpsaEfficiency","Zagreb","WPATH","WPOL","WTPT.1","WTPT.2","WTPT.3","WTPT.4","WTPT.5","VAdjMat","VABC","TopoPSA","topoShape","geomShape","PetitjeanNumber","MDEC.11","MDEC.12","MDEC.13","MDEC.14","MDEC.22","MDEC.23","MDEC.24","MDEC.33","MDEC.34","MDEC.44","MDEO.11","MDEO.12","MDEO.22","MDEN.11","MDEN.12","MDEN.13","MDEN.22","MDEN.23","MDEN.33","khs.sLi","khs.ssBe","khs.ssssBe","khs.ssBH","khs.sssB","khs.ssssB","khs.sCH3","khs.dCH2","khs.ssCH2","khs.tCH","khs.dsCH","khs.aaCH","khs.sssCH","khs.ddC","khs.tsC","khs.dssC","khs.aasC","khs.aaaC","khs.ssssC","khs.sNH3","khs.sNH2","khs.ssNH2","khs.dNH","khs.ssNH","khs.aaNH","khs.tN","khs.sssNH","khs.dsN","khs.aaN","khs.sssN","khs.ddsN","khs.aasN","khs.ssssN","khs.sOH","khs.dO","khs.ssO","khs.aaO","khs.sF","khs.sSiH3","khs.ssSiH2","khs.sssSiH","khs.ssssSi","khs.sPH2","khs.ssPH","khs.sssP","khs.dsssP","khs.sssssP","khs.sSH","khs.dS","khs.ssS","khs.aaS","khs.dssS","khs.ddssS","khs.sCl","khs.sGeH3","khs.ssGeH2","khs.sssGeH","khs.ssssGe","khs.sAsH2","khs.ssAsH","khs.sssAs","khs.sssdAs","khs.sssssAs","khs.sSeH","khs.dSe","khs.ssSe","khs.aaSe","khs.dssSe","khs.ddssSe","khs.sBr","khs.sSnH3","khs.ssSnH2","khs.sssSnH","khs.ssssSn","khs.sI","khs.sPbH3","khs.ssPbH2","khs.sssPbH","khs.ssssPb","Kier1","Kier2","Kier3","HybRatio","fragC","FMF","ECCEN","SP.0","SP.1","SP.2","SP.3","SP.4","SP.5","SP.6","SP.7","VP.0","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VP.7","SPC.4","SPC.5","SPC.6","VPC.4","VPC.5","VPC.6","SC.3","SC.4","SC.5","SC.6","VC.3","VC.4","VC.5","VC.6","SCH.3","SCH.4","SCH.5","SCH.6","SCH.7","VCH.3","VCH.4","VCH.5","VCH.6","VCH.7","C1SP1","C2SP1","C1SP2","C2SP2","C3SP2","C1SP3","C2SP3","C3SP3","C4SP3","ATSp1","ATSp2","ATSp3","ATSp4","ATSp5","ATSm1","ATSm2","ATSm3","ATSm4","ATSm5","ATSc1","ATSc2","ATSc3","ATSc4","ATSc5","nHBDon","nHBAcc","PPSA.1","PPSA.2","PPSA.3","PNSA.1","PNSA.2","PNSA.3","DPSA.1","DPSA.2","DPSA.3","FPSA.1","FPSA.2","FPSA.3","FNSA.1","FNSA.2","FNSA.3","WPSA.1","WPSA.2","WPSA.3","WNSA.1","WNSA.2","WNSA.3","RPCG","RNCG","RPCS","RNCS","THSA","TPSA","RHSA","RPSA","bpol","apol"
"1","124897762",2.688,274.14699872,0,3,3.33,2,19,3,23,0,39,17,16,3.8636,14.92740496,90.1596,0,3,3,2,2,0,0,0,3,0,0,0,0.0588370475522673,108,1032,31,43.1652862009252,2.05548981909167,6.11601871277964,0,6.11601871277964,5.52356195605701,265.676182599001,16.13,1,NA,0.5,0.5,3.56404716168449,1.69251879732914,0,17.2085361551814,19.3926552713091,0,3.10267168393334,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,2,0,0,0,2,10,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8790170132325,7.51300728407908,4.05,0.105263157894737,1261.02,0.857142857142857,431,14.6564897705629,10.2371834430179,9.00154743404712,7.50312641924479,6.02343139500089,4.87619832702538,3.23794086696861,2.24478182090078,12.3226304212754,7.02118311419235,5.26915508557175,3.5638642706197,2.34228026931651,1.54916319431416,0.851995824876127,0.484202655477719,2.85413491165321,3.99391723382772,5.01011159778908,1.21865540714274,1.3441771528089,1.36799453689154,1.17354024205322,0,0.302749430154621,0,0.633202892180279,0,0.122648121682462,0,0,0,0,0.234708048410644,0.358413742360102,0,0,0,0.0741894553680538,0.0906613649372621,0,0,2,11,4,0,0,0,0,1445.70932250426,1659.89278558853,2223.03797070071,2161.57294722495,1638.7544044783,21.719960602553,23.8309096659022,31.6647277327218,31.8309096659022,24.6647277327218,0.160520554275495,-0.0991732620650984,0.0121070428761287,0.00617303859023893,0.000697625856762035,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.977726,47.642274
"2","124897571",2.858,321.13649362,0,5,3.22,2,21,2,26,0,43,17,16,4.3355,18.79656025,94.5984,0,3,3,2,2,0,0,0,3,0,0,0,0.126363713891758,122,1388,39,49.0730326483284,2.04470969368035,11.5298251347876,8.41397116601788,3.11585396876968,5.70043971814109,298.346087118384,40.58,1,NA,0.5,0.504717259721992,4.25028737628815,4.36657487436823,0,12.1814257409269,20.2606694310407,0,6.59490659283001,0,0,0,0,0.766309432393553,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,8,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7810650887574,9.08734693877551,4.41145833333333,0.15,1473.04,0.75,484,16.9409468209391,11.7618814529232,9.7131929143673,8.74891159996201,7.25932253252707,5.93020315101986,3.94189765853939,2.68076500933579,13.9454611587878,7.58366587260451,5.1998031849544,3.86111325975443,2.6276253952883,1.75996043986665,0.946224582274926,0.537015570444584,3.32624244648068,5.45987946502261,7.32600799058545,1.15029675321149,1.544249330014,1.66254298540685,1.13608276348795,0,0.302749430154621,0,0.480161868048797,0,0.0762209049505812,0,0,0,0,0.206930270632866,0.408510495092431,0,0,0,0.0672450109236093,0.0997449063468823,0,0,1,13,3,0,0,0,0,1567.67708250312,1824.26682095942,2506.04989935907,2625.14931580308,2145.51752521354,26.6833874078993,28.3249157291563,37.4910976623367,42.5976586750102,37.5976586750102,0.535569239811588,-0.292987065512163,-0.0426129743312235,0.0864347069386225,-0.0238807631071664,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.838933,51.375067
"3","124897142",2.605,266.07653618,0,2,3.11,0,18,3,21,0,33,12,12,3.2171,10.34973241,75.1883,0,3,3,2,2,0,0,1,2,0,0,0,0.0866667926870484,100,757,27,39.0892771031248,2.05733037384867,5.45124263972401,2.4179430191423,0,5.39231742277876,249.926402389895,23.06,0.833333333333333,NA,0.454545454545455,0,1.74722533531216,0.908832600364224,0,15.7524763327999,19.6336310632753,0,3.56403385943011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,8,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9591836734694,6.18549346016647,3.19113573407202,0.0588235294117647,883.02,0.842105263157895,355,13.2422762081898,9.23718344301788,8.30634603465974,6.95192178990642,5.66898611324051,4.40678223020409,2.98899538802327,2.10121945006787,11.265066523459,7.50807168950777,5.3771998459892,4.0683316245877,2.68311252229102,1.78652981351292,1.06760792934496,0.613873845514103,2.80602238922074,4.00640306001614,4.74107831822722,1.24098736641068,1.51935351717278,1.50005853186095,1.17354024205322,0,0.302749430154621,0,0.570762755575823,0,0.0481125224324688,0,0,0,0.0962250448649376,0.370790811898598,0.493922497290959,0,0,0.0416666666666667,0.127724339204259,0.166720188962349,0,0,0,12,4,0,0,0,0,1510.66988332878,1748.12156413874,2393.53073286446,2144.35888696461,1654.80258798298,25.902222073991,26.8959698607582,33.0037543633711,31.0037543633711,23.3339691588181,0.0842344952640039,-0.00452554115888365,-0.035017249301406,-0.00239620941932788,-0.000172619467621597,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.682898,42.957102
"4","124897047",1.613,183.10479952,0,0,2.78,0,10,0,16,0,27,11,10,1.6544,2.73703936,53.9233,0,3,2,1,1,0,0,0,3,0,0,0,0.0703968439592544,76,279,21,29.5100375935273,2.10785982810909,3.17151654491408,0,3.17151654491408,5,172.349349438834,12.89,0.75,NA,0.428571428571429,0,0,0,0,11.6567720595446,14.295576339522,0,3.30192724889463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2421875,3.86776859504132,1.76,0.307692307692308,659.01,1,180,9.38046888862398,6.93265299037757,6.08063724308676,5.34399088247394,4.58785626058182,4.05246595392306,2.57288256135207,1.86924601108235,8.16239206619428,5.30902091506576,3.9939958574655,3.00226075254816,2.24042978755313,1.72068597892938,0.897693286211858,0.574838275024218,1.79911374183285,2.9163831904351,4.32477567191955,0.757225337399997,1.09323757401977,1.41625160034553,0.666666666666667,0,0.166666666666667,0,0.329002069890299,0,0.0537914353639919,0,0,0,0,0.222222222222222,0.392837100659193,0,0,0,0.106415208386975,0.133951021937468,0,0,0,7,2,0,4,0,0,941.651766625122,1107.26282967682,1539.09155056128,1438.54223723218,924.28018903418,14.3599803012765,16.3323638663609,22.6647277327218,21.8309096659022,14.3323638663609,0.0759475015055846,-0.0286082414478458,-0.0120447054153166,-0.00210072477753875,0.00325143445187003,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.531691,32.648309
"5","124896300",5.173,477.0497575,1,8,3.22,4,19,5,28,1,48,16,15,2.5966,6.74233156000001,111.0927,0,3,3,2,2,0,0,1,2,0,0,0,0.128330428928056,130,1639,37,52.9938522573528,2.03822508682126,14.6077290672982,2.4105449898442,6.56939179800715,5.8073549220576,354.162433629561,61.22,1,NA,0.5,0,2.03409126903811,1.66881793499701,0,19.6488453489064,21.0242816479819,0,5.52147264699439,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,1,0,4,0,1,9,0,0,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.7270408163265,10.518626734843,5.75,0.238095238095238,1850.05,0.653846153846154,500,18.3551603833121,12.6858718480016,10.8969515845497,8.52416417793592,7.43706684783225,6.12629835770344,4.33766743102383,3.32046848064067,17.97749252387,11.4942028527139,8.9247617006746,6.95779138063559,5.6166013164486,4.23095221404953,2.98930173064071,2.28814211410133,2.83199468941462,5.08752987285525,7.35444072220523,2.24690915605535,3.77823883790187,5.00528807106915,1.35395405949299,0,0.247193874599065,0,0.890801019988319,0,0.247299729935029,0,0,0,0.0785674201318386,0.397422993778617,0.575284206350463,0,0,0.108253175473055,0.315525934931259,0.482035746380618,0,0,2,13,1,3,2,0,0,2392.15000127585,2758.896895545,3764.61029314451,3828.07889200796,3788.2024801721,144.260845261101,42.0684919167127,55.7375578557154,56.8814978981173,56.404882035673,0.309948970672242,-0.168473926978614,-0.00750772386440059,0.0781894793840903,-0.157672696949162,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.518554,62.881446
"6","124896036",3.626,288.11551706,0,4,3,2,8,3,21,1,39,12,12,2.6778,7.17061284000001,79.3892,0,2,2,2,2,0,0,0,2,0,0,0,0.0727138899486527,102,885,29,39.7486746587578,1.98743373293789,8.49788371999232,2.56425984719195,3.39561422164619,5.39231742277876,273.936353062895,20.95,0.833333333333333,NA,0.454545454545455,1.5,4.50491354975048,2.48933190915391,3,10.2802258194375,12.2462644275832,1.86788625071835,1.89484851202714,1.1246826503807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,8,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3718820861678,6.84,4.49632653061224,0.294117647058824,1220.03,0.7,358,14.7507123766271,9.37602866335164,9.21253575715117,6.76497431949156,4.9674674975072,3.7132505443593,2.38795143155614,1.72438624653022,13.0751574253816,7.49646826603691,6.96293783420287,4.28118765881327,2.67090857309864,1.72560199262056,1.00610402065234,0.600780623325933,3.85011184452409,4.68900636916728,5.40897246946483,2.36920964670828,2.41745777045074,2.31342906664495,2.31510082520621,0.288675134594813,0.668714962287735,0.144337567297406,1.86462804255591,0.25,0.368547379468541,0.0833333333333333,0,0,0,0.166666666666667,0.232038087531348,0,0,0,0.0670614878436971,0.100099095874293,0,0,2,8,2,4,0,0,1,1353.01115520714,1538.0476801349,2076.59134283505,1943.73887173538,1502.1125061614,28.8473992446662,23.782408416112,35.5568019838498,36.4053213360069,28.5642730537673,0.291694832193486,-0.1477454875946,-0.048436316233729,0.104454310231669,-0.0742256710247337,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.128933,46.671067
"7","124895745",2.566,276.08987772,0,3,2.89,2,21,3,23,0,33,17,16,4.5937,21.10207969,77.4811,0,3,3,2,2,0,0,0,3,0,0,0,0.202941159823409,108,1076,30,43.1600009243657,2.05523813925551,10.9580663097218,4.83462271567743,6.12344359404437,5.52356195605701,246.02820804759,56.03,0.857142857142857,NA,0.461538461538462,0,0,0,0,17.0651765541047,18.6809952913863,0,2.60315557381478,0,0,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8790170132325,7.51300728407908,4.2603550295858,0,805.04,0.857142857142857,462,14.6564897705629,10.2203466906123,9.0858670971129,7.46566894067952,5.847747038837,4.8324979353659,3.22469764841879,2.19094465919186,10.9907718974259,6.54946069322817,4.67479303713624,3.24458310184782,2.10456564294291,1.48815257100281,0.77137136119141,0.4212933046898,2.80116203745391,3.643399962028,4.532062942897,0.835769213146457,0.95572371276249,1.03844208245907,1.2415816237972,0,0.25,0,0.458184275697757,0,0.0215165741455968,0,0,0,0,0.234708048410644,0.369226785026512,0,0,0,0.0733506131396089,0.0990606271110231,0,0,1,13,3,0,0,0,0,1286.04942673444,1479.00574803154,1968.35809726314,1863.97621379139,1362.17267937386,23.2688986736349,24.6054689936746,33.2695626557083,32.1592775744325,23.8269137080716,0.134272310715149,-0.0379020516278697,-0.0209419786396553,-0.00809549316491783,-0.000206345049912128,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.694484,41.725516
"8","124894624",3.151,238.11061318,0,4,2.78,2,17,4,19,0,32,12,12,3.781,14.295961,75.2078,0,2,2,2,2,0,0,0,2,0,0,0,0.137205139929244,86,717,23,36.3073364439263,2.01707424688479,8.27620559821037,2.41565480642909,5.86055079178128,5.24792751344359,231.175388197695,32.67,1,NA,0.5,0,1.76856454229043,0.696238325041917,0,16.7894913955489,11.898861907978,0,0.7937005259841,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.409972299169,7.55555555555556,4.56599286563615,0.0666666666666667,783.03,0.777777777777778,345,12.7946824509971,8.79202499788427,7.24772388614962,6.04800806202798,4.32649538893256,3.35702136674891,2.00300656076767,1.38272471635116,10.1535284425497,5.69612898917683,3.94080561477954,2.65703756928545,1.60491139295262,1.0419019314131,0.514231946913859,0.280655682470483,1.95528105477323,2.45850166207114,2.69814808850373,0.683563445383358,0.687561288415063,0.6256568364122,0.810617217526046,0,0.117851130197758,0,0.366985688979868,0,0.0333333333333333,0,0,0,0,0.185395405949299,0.179206871180051,0,0,0,0.059852792732757,0.046978625871007,0,0,0,12,2,0,0,0,0,1054.94517413053,1173.87353220093,1478.70401191203,1359.8970341507,997.978237268423,19.4944296380939,20.245805764704,25.2181893297884,24.3289116869869,18.1627297538065,0.0515683075605089,-0.0287696081277505,0.0263822716920861,-0.0200255041592296,-0.0030926488057712,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.922898,38.737102
"9","124755859",0.553000000000001,411.16952508,0,6,3.33,2,9,2,35,0,52,23,23,3.8608,14.90577664,121.1289,2,5,4,4,4,0,0,2,3,0,0,0,0.204635788568302,168,2670,49,64.5960377800454,2.08374315419501,21.4979585205593,5.13460303235343,16.3633554882059,6.12928301694497,359.204546249957,84.14,0.875,NA,0.466666666666667,0,0,0,0,22.1883959824182,28.2591744573213,0,7.7532261616817,0,0,0.111111111111111,0,0,0,0,0,2.3811015779523,2.49804953296681,0.333333333333333,0,0,0,0,0,0,0,0,3,0,0,13,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7755102040816,10.5081216159933,5.08650519031142,0.166666666666667,2206.07,0.935483870967742,768,21.2085315344407,15.2035099382067,13.51031186524,11.8310896541905,10.1566446746878,8.46049164919943,5.84632856302219,4.37113538233473,16.795753975678,10.1830638851474,7.58511297163527,5.61537705114053,4.06771990613949,2.88320049142147,1.68936061238611,1.07462107581911,4.42611979381136,7.59835494520611,11.1677900921681,1.73615685588614,2.50407179817479,3.05229724240283,1.71148234651815,0,0.416814541051164,0,0.795666043478245,0,0.128489354058845,0,0,0,0.182001160107716,0.657373284794893,0.9771549856766,0,0,0.0522748612183951,0.202722871899002,0.261207518634092,0,0,2,14,4,2,2,0,0,2209.41726383927,2650.80400833274,3805.7720960238,3815.43364851069,3628.41352165701,34.3488395774643,37.7412164571772,53.2914977640982,53.7066956635137,52.8702410850051,0.337628625213161,-0.181799493050233,0.0400794808839208,0.0535699535153653,-0.131061369874857,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.875347,63.346653
"10","124754813",1.046,373.21138994,0,8,2.67,4,8,4,29,0,54,11,11,0.842700000000001,0.710143290000002,102.0388,2,3,2,3,2,0,0,2,1,0,0,0,0.22070601868084,140,1789,44,54.4798400829291,2.0177718549233,24.2433469077594,8.1575997241068,16.0857471836526,5.85798099512757,343.846519427584,82.37,0.857142857142857,NA,0.461538461538462,0.69114069622795,6.67022391478985,4.03410950973968,1.00394484975916,8.0918897119812,12.7379910388558,2.87577202889049,3.08133913536618,1.91925974818689,0,0,0.308606699924184,0.2,0,0,0,2.3811015779523,2.49804953296681,0.333333333333333,0,0,0,0,0,0,4,0,6,0,0,3,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7027348394768,9.66686496133254,4.60941828254848,0.578947368421053,2434.08,0.62962962962963,553,19.4409468209391,13.0285537580985,11.3194117061105,10.0137660609764,8.20100856585895,6.16965798749304,4.43411378847526,3.13560915894237,16.4355043435795,9.31155256433607,7.01070271627973,5.27557607215902,3.61536672259443,2.32811762039403,1.38892335428463,0.877667784564809,4.98772161659382,8.54684056262414,11.4366400672325,2.31217272861783,3.35917168506352,3.71476520098781,1.86829475335125,0.117851130197758,0.624566706785104,0.0962250448649376,1.01909728020273,0.0790569415042095,0.259597849789972,0.0437622380195893,0,0,0.201184463531091,0.484005034374204,0.806792080490259,0,0,0.0759016994374947,0.194401189977694,0.257644353723912,0,0,2,5,1,4,4,1,0,1817.60941657222,2161.33840937674,3135.18586401669,3193.86657686265,3044.82302457303,31.1233086130052,32.7374923885749,46.1218636515438,49.3708796177788,50.0910669264825,0.569724877113544,-0.310086995529401,0.0678242545497212,-0.00337071174526293,-0.123604536258899,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.266589,59.349411
